1487269903,"17
00
01",1168060,49066,1117
1487271704,"17
00
31",1168060,50627,1156
1487273296,"17
00
58",1214974,51785,1183
1487275097,"17
01
28",1266528,52924,1206
1487276898,"17
01
58",1266528,53767,1228
1487278698,"17
02
28",1266528,54382,1242
1487280499,"17
02
58",1282026,54792,1251
1487282300,"17
03
28",1282026,55079,1262
1487284101,"17
03
58",1297518,55329,1268
1487285901,"17
04
28",1319084,55477,1274
1487287702,"17
04
58",1319084,55612,1283
1487289503,"17
05
28",1380544,55759,1289
1487291303,"17
05
58",1479834,55909,1297
1487293104,"17
06
28",1479834,56121,1301
1487294905,"17
06
58",1662993,56408,1309
1487296705,"17
07
28",1743438,56811,1325
1487298506,"17
07
58",1743438,57378,1331
1487300307,"17
08
28",1743438,58083,1345
1487302107,"17
08
58",1809927,58850,1363
1487303908,"17
09
28",1817199,59596,1386
1487305709,"17
09
58",1817199,60423,1406
1487307510,"17
10
28",1834885,61262,1420
1487309311,"17
10
58",1838614,62166,1438
1487311111,"17
11
28",1861936,63098,1453
1487312912,"17
11
58",1861936,64055,1476
1487314713,"17
12
28",1890689,65011,1510
1487316514,"17
12
58",1890689,65915,1537
1487320114,"17
13
58",1994252,67736,1602
1487321039,"17
14
13",1994252,68167,1620
1487322840,"17
14
44",2053831,69037,1639
1487324641,"17
15
14",2112766,69837,1655
1487326335,"17
15
42",2113938,70595,1686
1487328137,"17
16
12",2113938,71423,1703
1487329938,"17
16
42",2156291,72195,1727
1487331739,"17
17
12",2225225,72946,1742
1487333540,"17
17
42",2225225,73599,1764
1487335340,"17
18
12",2251507,74236,1780
1487337141,"17
18
42",2307279,74895,1796
1487338943,"17
19
12",2368281,75607,1810
1487340745,"17
19
42",2390879,76271,1833
1487342748,"17
20
15",2414160,77015,1855
1487344549,"17
20
45",2418294,77781,1871
1487346350,"17
21
15",2446691,78496,1886
1487348151,"17
21
45",2446691,79213,1900
1487349952,"17
22
15",2471776,79992,1919
1487351753,"17
22
45",2534758,80717,1932
1487353554,"17
23
15",2534758,81429,1945
1487355356,"17
23
45",2592502,82156,1956
1487357157,"18
00
15",2594127,82792,1972
1487358958,"18
00
45",2614738,83353,1983
1487360759,"18
01
15",2614738,83881,1995
1487362968,"18
01
52",2666852,84473,2008
1487362986,"18
01
53",2666852,84477,2008
1487363096,"18
01
54",2666852,84498,2010
1487364898,"18
02
24",2699749,84830,2019
1487366698,"18
02
54",2773011,85109,2023
1487368499,"18
03
24",2773011,85301,2027
1487370300,"18
03
55",2811458,85441,2034
1487372100,"18
04
25",2811458,85539,2036
1487373901,"18
04
55",2867251,85616,2038
1487375702,"18
05
25",2869277,85698,2040
1487377502,"18
05
55",2870665,85777,2049
1487379303,"18
06
25",2871856,85896,2056
1487381104,"18
06
55",2872554,86034,2060
1487382904,"18
07
25",2872554,86210,2062
1487384705,"18
07
55",2879136,86448,2065
1487386506,"18
08
25",2892118,86736,2068
1487388307,"18
08
55",2906212,87051,2083
1487390107,"18
09
25",2932250,87420,2089
1487391908,"18
09
55",2932250,87850,2097
1487393709,"18
10
25",2932250,88275,2107
1487395510,"18
10
55",2956034,88805,2116
1487397310,"18
11
25",2964529,89422,2124
1487399111,"18
11
55",2966031,89991,2134
1487401674,"18
12
37",3009064,90778,2145
1487401948,"18
12
42",3009064,90853,2145
1487403749,"18
13
12",3024468,91416,2153
1487405550,"18
13
42",3050445,92019,2160
1487407352,"18
14
12",3064698,92603,2171
1487409153,"18
14
42",3087015,93176,2183
1487410955,"18
15
12",3093690,93667,2198
1487412755,"18
15
42",3101863,94205,2211
1487414557,"18
16
12",3101863,94803,2216
1487416358,"18
16
42",3142036,95361,2235
1487418158,"18
17
12",3179989,95913,2245
1487419959,"18
17
42",3179989,96418,2258
1487421760,"18
18
12",3227305,96939,2267
1487423561,"18
18
42",3245787,97498,2276
1487425362,"18
19
12",3285969,98081,2281
1487427163,"18
19
42",3318779,98640,2288
1487428964,"18
20
12",3318779,99149,2298
1487429346,"18
20
19",3332646,99242,2299
1487431147,"18
20
49",3332646,99723,2311
1487432948,"18
21
19",3364905,100197,2320
1487434749,"18
21
49",3364905,100659,2328
1487436550,"18
22
19",3384060,101145,2341
1487438351,"18
22
49",3411043,101651,2350
1487438486,"18
22
51",3411043,101684,2351
1487440287,"18
23
21",3411043,102221,2365
1487442088,"18
23
51",3463031,102701,2373
1487443889,"19
00
21",3463031,103175,2380
1487445689,"19
00
51",3504714,103659,2390
1487447491,"19
01
21",3542065,104170,2397
1487449292,"19
01
51",3542065,104551,2407
1487451093,"19
02
21",3542065,104863,2416
1487452894,"19
02
51",3581548,105106,2424
1487454695,"19
03
21",3581548,105273,2425
1487456496,"19
03
51",3608692,105410,2429
1487458297,"19
04
21",3641275,105533,2431
1487460097,"19
04
51",3651818,105611,2438
1487461898,"19
05
21",3678366,105744,2449
1487463699,"19
05
51",3678366,105908,2449
